State,Population2015,Insecurity1315,ObesityRank2015,NumberThicc2015,RankObese2015
Alaska,738432,13.3,29.7,219314,25
Arizona,6828065,19.2,27.93,1907079,32
Arkansas,2978204,14.9,35.58,1059645,7
California,39144818,12.6,24.47,9578737,45
Colorado,5456574,12.1,19.79,1079856,50
Connecticut,3590886,13.1,26.99,969180,39
Delaware,945934,13.2,33.5,316888,12
District of Columbia,672228,11.9,18.75,126043,51
Florida,20271272,12.7,22.12,4484005,48
Georgia,10214860,14.9,25.86,2641563,40
Hawaii,1431603,9.7,30.12,431199,23
Idaho,1654930,10.6,32.3,534542,14
Illinois,12859995,13.8,27.8,3575079,33
Indiana,6619680,11.1,27.8,1840271,34
Iowa,3123899,14.8,32.3,1009019,15
Kansas,2911641,14.6,34.78,1012669,9
Kentucky,4425092,17.6,30.5,1349653,21
Louisiana,4670724,18.4,33.6,1569363,11
Maine,1329328,9.7,27.48,365299,37
Maryland,6006401,10.7,28.37,1704016,30
Massachusetts,6794422,15.8,25.48,1731219,44
Michigan,9922576,14.9,30.67,3043254,19
Minnesota,5489594,9.9,25.83,1417962,41
Mississippi,2992333,15.2,37.35,1117636,4
Missouri,6083672,20.8,29.9,1819018,24
Montana,1032949,12.2,28.58,295217,28
Nebraska,1896190,15.9,32.05,607729,16
Nevada,2890845,8.5,24,693803,46
New Hampshire,1330608,14.8,20.95,278762,49
New Jersey,8958013,10.1,27.47,2460766,38
New Mexico,2085109,11.1,31.58,658477,17
New York,19795791,14.4,25.8,5107314,42
North Carolina,10042802,14.2,28.42,2854164,29
North Dakota,756927,14.1,37.47,283621,3
Ohio,11613423,16.1,31.28,3632679,18
Oklahoma,3911338,15.5,36.42,1424509,6
Oregon,4028977,16.1,28.1,1132143,31
Pennsylvania,12802503,12.4,30.54,3909884,20
Rhode Island,1056298,11.8,23.88,252244,47
South Carolina,4896146,13.2,27.58,1350357,36
South Dakota,858469,11.5,32.6,279861,13
Tennessee,6600299,15.1,35.5,2343106,8
Texas,27469114,15.4,28.83,7919346,27
Utah,2995919,11.9,29.41,881100,26
Vermont,626042,9.8,30.2,189065,22
Virginia,8382993,11.4,27.62,2315383,35
Washington,7170351,12.9,25.64,1838478,43
West Virginia,1844128,11.3,38.2,704457,1
Wisconsin,5771337,15,36.72,2119235,5
Wyoming,586107,13.2,34.63,202969,10